,Score,Sentiment
4151,0,The Pirate Party got one seat. Not two  http://www.val.se/val/ep2009/valnatt/rike/index.html #arrr #eu09
4152,0,Lost my temper today. I feel bad.  
4153,0,"Post office, n other runnin around to do...geesh now I gotta put up with drivers   BBL.... throws mic down.... I'M OUT!!"
4154,4,"i love orange juice, nommnomm "
4155,0,This storm is freaking me out. I want alan home now. 
4156,4,"Rather tired. But, the morning shows promise with the rising sun.  #fb"
4157,0,@mikeo_s U found anywhere to stay yet? I'm struggling 
4158,4,"I love writing songs. Really, I do. I know a lot of them are pretty bad, but I just enjoy it so much! "
4159,0,@jercrowle let me know if you find my black Raleigh - it was stolen yesterday 
4160,4,Now I know. Programming this particular web site is easier with a glass of alcohol within reach. 
4161,0,@curlydena Same here Dena. Wanna eat some Panadol and crawl back into bed 
4162,4,PAY DAY! Awesome day today! 
4163,4,@simonemckendry http://twitpic.com/668eb - Erm both 
4164,4,@scholesy111 haha im sure i wonder who bthe tip was off  x
4165,4,@pdurham mr lay he is not being done in our snuggle bed... dont worr ie... 
4166,0,"Dad: &quot;No trips to Lahore for you.&quot; Me: &quot;I do live in DC &amp; NYC which also = big targets.&quot; Bummer, no Pizza Hut chicken tikka pizza for me "
4167,4,is proud to say that Tru Connect will be making it's first debut on iTunes and all major music stores with the 1st single in 3 WEEKS!!! 
4168,4,@ineedalimb LOLOLOL!! I have a decaff coffee.. I don't even know what it is. But i think it hasn't got caffeine in it or something. :S 
4169,4,@justinecashew that song is one of my favorite blink songs 
4170,0,"On 2nd thought, might bump American Apparel and Laundry for a day of Sunday lounging... No sun out today "
4171,4,"alright it's 2:15 am, and i still cannot sleep. i don't know what's up with me. watching camp rock "
4172,0,@KillahKam i know! that heffa layin in the sun den us 
4173,4,@thomasfiss iii have already added them! they're pretty sickk! 
4174,0,I still cannot get to sleep it's 1am  stats exam tomorrow I hope I pass
4175,4,@felixwidjaja yeh same here. if you learn how to run magento locally please let me know  
4176,0,"Trying 2 figure this out, not getting it at all "
4177,4,@HeatherLynneA agree 
4178,0,@sparkly_says am I missing anything in the BBR? I can't get my internet working 
4179,4,"@josiefraser if you come across any Yorkshire and Humber folks then please let me know so I can stalk them, in a nice way  #lcict09"
4180,4,@joeymcintyre You ROCK!! You picked my girl @irishgirl75 for your book drive 
4181,4,@555 Thanks Pete. Roll on 2010 
4182,4,@heymamakat happiest of birthdays to you Kat 
4183,0,.. I'm hungry as hell!! I could spare myself the extra drama by just eating some of @DjChampIFD 's food but I'll eat it all haha!! 
4184,4,"@lowrobb Timeless, Bin "
4185,4,@DaPrbmChild lol yes! because i'm a horrible speller &amp; it catches all my mistakes so nobody knows i really cant spell 
4186,4,"@jlxo thank you sweety, I think it's the swine LOL jk "
4187,0,Walking to cacth express bus downtown to Metra train to work.  #fml #tcob #musicmonday #cta #worksucks #chicago #lt
4188,4,Oops I meant &quot;wear&quot;....gotta watch my grammar 
4189,4,"have been given a motto for life, âwe came, we saw, we conqueredâ rather fitting i think "
4190,4,@benly spot on!! it was part of the Bose OST 
4191,4,@cbnqtony Helllo Tony  Follow me.
4192,0,i missed the first half hour of hatching pete 
4193,0,is back in the states... I miss Dublin 
4194,4,"@adamyeager Actually, I was stuck in Georgia "
4195,0,I just got a mosquito bite on my leg  i've been scratching it and now it's all red. I should probably stop scratching it.
4196,0,sometimes it feels like your ipod is your only BFF  I really need to talk to someone... Monchix could be a great option!!
4197,4,@WTCElise lol nice   ong atl just released the song list for nothing personal!!
4198,0,@DinoGoesRawr they were supposed 2 b coming.. thats wat the radio said.. 
4199,4,"@HimOverThere Well, just realised this. Passed - verb. Past - the rest of the time. "
4200,4,"i got paid today, thank god i'm no longer broke! "
4201,0,Bored as hell 
4202,4,"@nickcmkit welcome back nicko! don't forget we still got coffee on with the client  lots of work on the side (nice client, i promise!)"
4203,0,@ZeeNemesis wow. 1. Mean. 2. I always want to hang out with u... 3. That's not fair... 
4204,4,"@Bookwhisperer37 i know I LOVE gelato. it was so different having it in italy, so much nicer  hows pompeii??"
4205,4,"@DonnieWahlberg 4 months ago... http://tinyurl.com/lvf3gs 1:12 the dark haired with the white shirt... thats me  without my scarf, LOL!!"
4206,0,"Guys, we're not going to Sonoma at all, it's really difficult for us to drive over there tonight, we couldn't get there before 8 anyway "
4207,4,@maranthony hiya! watchu bin up to? 
4208,0,All my fake plants died because I did not pretend to water them  
4209,4,@jessFCKNbest I'm a sucker for curls. I love it. 
4210,4,"Oh hey there, Sun. There you are. Missed ya this weekend "
4211,0,@Lelebee idk if mine does 
4212,0,@SLHamilton I don't think I'm going to be able to make it down there this weekend.  First weekend of June?
4213,0,@YkA1 except for my knees I skinned them up when I fell. 
4214,4,@Owais_Iqbal it's all on my website  Samples .. etc 
4215,0,looking at some old pictures.  man i was tan back then 
4216,4,@patgarrat657961 Hockey! I'm now imagining you swinging a hockey stick and pontificating on the various rules to your adoring fans. Cool! 
4217,4,"@aaroncorby bless! that's what a like a granny who watches f1  mine tries to take an interest, usually asks how Kimi Hamilton is doing!!"
4218,4,"@martywittrock Wow....sounds like, um, fun? Get some rest when you get a chance...have a great day! "
4219,0,Feeling like crap because I wasted the whole day. I have too much to do! I'm never going to get it done 
4220,0,is watching The Lion King and is crying... waaaah. Mufasa died. 
4221,0,aim it [itsdcampos] bored just got home iknow 11 and at home wtf!  BLAH! missin K.v. :/
4222,0,Going to school  neuza's homework is going to be presented today 
4223,4,@DougBench Have a blast! 
4224,4,For all my followers here is a smiley face I drew for you. |  | I hope you all like it.
4225,0,"All that said, I wish I were having as much fun today as y'all seem to be having! Unfortunately, wp2.8 = death horror and destruction. "
4226,4,@endac ok you win! 
4227,0,Gutted I've had to sell my Dot to Dot ticket 
4228,4,@_ev wooh.. you got new ituos! Let me know the improvement in it 
4229,4,Loving the sunshine in my shorts and t-shirt    enjoy it while it lasts
4230,4,one cold rainy night. good night. 
4231,4,"@AliFANatic hi, yes i kinda like that movie as well , im drinking coffee now, hopin u sign on soon "
4232,4,is listening to you me at six really loudly 
4233,0,has got her self in a mighty mess and is hence very unhappy at this moment in time 
4234,0,...and now he's fast asleep!  Not fair 
4235,4,"@rustyrockets I would never beat you up  i love u too much, will u have my babies? can we get married? where do u live?? hahha"
4236,4,@AngelaCurrent Good luck with it. Would love to read it once itï¿½s up and running 
4237,0,Broke up with my boyfriend  x
4238,4,watching the simpsons 
4239,0,nooooo my plans for next week just went down the drain. all booked out. damn it. waited too long. 
4240,0,"@remurbach TÃ¡ bom, tÃ¡ bom. "
4241,4,@wengcieweng I'm back...sort of. Preparing my chicken satay baon 
4242,0,MBP screen won't turn on. Guess I'll take it to the mac DR in the morning. 
4243,0,@JacobLovie ... in that case I have no other suggestions 
4244,0,@girl2008 he's much better this morning thanks. I use this enzyme stuff on him. Had to stay out last night &amp; he's a bug sissy about that. 
4245,4,@lila82 thank you and congrats on the big milestone!! 
4246,4,Going on my travels 
4247,0,Having trouble wake up @ the office.. 
4248,4,@anish_sinha u shud have taken a diploma....  wud have helped ur cause...
4249,0,@hollygotigers here! cant get into chat. 
4250,0,i need @suicidegirls chatter love. i mees them 
4251,4,At work - bored to death.... =( Looking forward to a noon departure!!!!!  
4252,4,@ispeakhiswords awww-thank you Ma'am....He is so Good!! 
4253,0,I'm a bucket full of lonesome without Lauren. Who else has a mexican bed with random men underneath it? 
4254,4,"@DbacksPRGirl YES! Especially for us youngins (I'm 18) who want to get some experience. Plus, I've always wanted to be in the press box "
4255,4,@jeffcannata Did a great job on TWiT.  Good jokes too. 
4256,0,@viggin I was kinda excited for you for a moment until I realized you were talking about chocolate. 
4257,4,MISSION TRIPP  our one in the west side of florence got canceled! so we're goin to Birmingham! cant wait to see some lives changed!!!
4258,4,"@pippad loved Top Ender in Tuesday's post. Of course, 20 points for you, since she knows you'd like a Doctor Who mag. "
4259,4,@bpmore the /usr/bin/grrl was never updated that often...just kind of random.  she's prolly using stumblr now 
4260,0,"is running fever  Why now, why today "
4261,4,I'm guilty for actually having fun while having a party.  
4262,0,@mikeconaty sorry  #dcth
4263,4,@littleblackdres Yay! Details 
4264,0," Dear all, had to restore my computer and I have lost everything. Show delayed until I can get things back together."
4265,4,is watching Come Dine With Me 
4266,0,"I seriously don't care if rake makes you happy, in a .NET oss Project I expect to be able to build with a NAnt..  Fluent NH build is PITA"
4267,0,ahhhhh. i should go to bed .... about now...i hope tomorrow goes fast 
4268,4,@CaptainJ808 good luck jeremy 
4269,4,not minding the rain today cuz he makes me 
4270,0,I miss my fiance...    
4271,4,@OfficialRihanna Hi Rihanna  i was jus wonderin wat ur ur friends and family call u is it 'Rihanna' or 'Robin'. k cya.
4272,4,But besides that it was sososo fun I danced with fifth graders cause they're too shy to grind  goodnight! 
4273,4,i have new sunglasses... 
4274,0,I'm gonna freeze because i left my hoodie 
4275,4,@Alexsmith10 Confused with new pic...thought you were someone else 
4276,0,Why I woke up so early  now I'm tired
4277,4,"@imrananwar Thank you Inwar, you are the best! Kisses "
4278,0,I can't believe the Gators softball team is blowing it 
4279,0,Would greatly appreciate it  Just want the guy caught.
4280,0,Suppeerrr sunburnttt!! Leaving for florida tomorrow morning.. Ugh! Don't wanna go at all! I HATE HEAT! 
4281,0,Time for sleep. Maybe Claire will let me sleep in tomorrow. I miss Amory. 
4282,0,@proudmonkey75 Mornin' Monkey! Sorry you didn't sleep well last night 
4283,4,"@gurmeetSingh heck, i'd wear airplane headphones if they dished something like that out "
4284,4,"Playin' wth mom and dinara, I've a great sat ths week!! "
4285,0,@axnollouse I never got in it was allways full 
4286,4,"@DesignBeauty wow, that sounds fun "
4287,0,"They cancelled on me, no more drunk bowling and hot dogs in Billyburg... "
4288,4,@RobertHoliday WOW!!! Robert don't know if anyone else could have said that any better. 
4289,4,"Everyone Mothersday is next Sunday, don't forget your moms  get some flowers from proflowers.com"
4290,4,@tashaburrow 70 calories in a grande non-fat misto. 
4291,4,"is gunna go to bed soon, this week should be grand "
4292,0,chillin' at home.  watching gofield eat my food! 
4293,0,'Property photography' or 'real estate photography'? I'm now #1 on Google for 'Canberra Property Photography' but I'm not getting traffic 
4294,4,@MandyyJirouxx Yayyy your best tweind is Mileyyy 
4295,4,Watching the Tudors with my mom and dad. Such a awesome show 
4296,0,"I think a cat is trapped in my back garden but cant find it. Hopefully its in someone elses garden, dont fancy finding a poorly cat "
4297,4,"@mileycyrus http://twitpic.com/2y606 - aww how cute  this made me smile, i'm sick at home :["
4298,0,@peaceloveabby9  what i do to you?!
4299,4,just got back from school. we skipped the last class 
4300,0,@kissmybleep Dave = Abs? ows? HAHA I want his height  I`m so small! 5&quot;4!
4301,0,"SIC's campus is amazing, but I really just want to be home. "
4302,0,"Healthy Recipes and Habits: Homemade Pizza http://bit.ly/2m9PNg (via @MrHealthyFood ) tasty looking, but another premade crust "
4303,0,Chemistry sucks!!!! Stupid review packets 
4304,0,@janellecaminker hope you're feeling better Janelle! Migranes are so painful 
4305,4,@johncmayer hey john mayer.. I joined twitter because i heard you're a fan... thanks.. 
4306,4,visitin some buddies 
4307,4,June gloom is early!!!!  http://yfrog.com/1ayymj
4308,4,Is listening to the new jonas brothers song 
4309,0,@victoriaaa_ what's wrong? 
4310,0,Man my daddy left to work again  I never see him a lot I miss my daddy :' (
4311,4,"Morning all. If anyone cares what I'm having for breakfast, I'm having coffee and a fresh peach. That's it. "
4312,4,YaYa SisterHood. I can already tell that my best friends and I are going to be like that. lol 
4313,4,Hanging at the casa with the fam! HAPPY! 
4314,0,deperatly looking for pinks adelaide shows!!! anyone selling?!!!! 
4315,4,"@kismet100 I'm alright. Today was fun at first, then slightly stressful but easy to get over. "
4316,0,"@victoriax3jonas 1) that's really weird about Joe. really weird. and 2) i know, all my shows are over except that one. it makes me sad "
4317,4,off work early because of crappy weather. yay. 
4318,0,@AkashaTheKitty that IS annoying! 
4319,0,"@MissSididdy: ooh shit, i felt that all the way over here. please a moment of silence for you nipples... whew lord.  get some ICE!"
4320,0,i feel like eating some strawberries. but sadly my mom ate the last ones like 15 min. ago.  and i have BIG craving.
4321,4,studying chemistry..  &quot;LOVING  it&quot;
4322,4,"@liorsion not Dudu Topaz, of course "
4323,4,@shelliwazzu gracias! i just noticed her. 
4324,0,"@Sion71 yep im good ! planning on staying in doors and dodging the rain  it is misserable here today ,"
4325,4,Four Sundays in the month and the Stafford meet clashes with the one I'm away on... No work to do though. Gonna tidy my room. 
4326,0,had the scariest experience ever on friday: breaks went out while driving home from work. needing a tow truck and new breaks 
4327,4,fixed is fixed 
4328,4,@emajik all that driving make you tired? 
4329,0,I hope DeeJae is better today. She had a bit of a sore throat last night 
4330,0,@slyall jesus I hope not. would ultimately be good for the people of north korea to be liberated. but so many people would die. 
4331,0," oh no oh no oh no. Not ready for this. Need some foods or INQ will collapse, oh, That's a good excuse!"
4332,0,is really cold. Dad doesn't feel the need for me to have the heating on in my room 
4333,4,@hirise_stories You're totally welcome 
4334,0,@kiernanmcmullan That sucks   Some people just need to get a life and learn how to be nice.
4335,4,"Dj-ing in Jersey tomorrow.  Do come, if you happen to be in the Channel Islands "
4336,0,"Damn. Spent the whole day shooting at ISO800 again, without realizing it... "
4337,4,http://blip.fm/~8958d I literally CAN'T get this song out of head at the moment 
4338,4,The new theme is Lovely!!! keke.. thank u @kahhongtay 
4339,4,@ThatSamGirl get stuffed..  see ya in the morning xx
4340,0,I wish there was still Dunkin Donouts 
4341,0,My Friend is going to buy a Mac... and i'm trying to put the shit head off... I have told him he won't use it properly... 
4342,4,Going to Brazil in Febuary!&lt;3 &amp;bringing beck!  stokkkked
4343,4,Going to lunch w/a friend  I'm starving!
4344,4,"@kassy4 ah, cool, evidently the one thing we aren't up to at the moment is front-end design, but that will be fixed soon! "
4345,0,I miss my Macbook 
4346,4,@ChuckNut...no worries...maybe we can talk after #ChuckMeMondays #Chuck 
4347,4,@my_leka that's meeeeeeee  .. hey pretty lady
4348,0,@CatholicKnees_ IM GOING TO MISS YOU WHITE BREAD 
4349,4,song writing with @sarahx_x  i enjoy it sooo much!
4350,4,@BrazilTour you are very welcome! 
4351,4,@jonas_twilight3 hahaha I'll enjoy the shows.. but fun at work NOT! lol well maybe sometimes 
4352,0,not getting all my tweets via text anymore  only some wtffff i feel disconnected from @joshg85 and @jasonlomas
4353,0,an hour early just to make it to my class at 9:30. 
4354,0,copy of the sims 3 arrived this morning. Looking forward to playing it. But its not my turn yet 
4355,4,@erwinb It sure is! 
4356,4,"Wearing my crocs for the 1st time of the year, without socks... Summer is on the way. "
4357,0,Guitar-ing it with baby. My stum is hurting at the momentÃ³  blehhh morning twitties! Dream Big
4358,0,wants to know why if i have given up smoking b4 is it so hard this time????? grrr wish i'd never started 
4359,0,"Trying to write an essay on the different types of knowledge, please feel free to help me out. "
4360,0,I don't feel so good and I got sunburned when the sun was barely even out today 
4361,0,"Busy week ahead, but have scheduled a day of 'home maintenance'- standing in queues in Asda, weed pulling &amp; hoovering beckon "
4362,0,I missed the bus 
4363,4,margarita monday at acaulco with william! our new place is wonderful. this is a perfect day 
4364,4,@amandafortier I hope so!  Its bad enough I have to exchange my currency  LOL
4365,0,Christian and fran are asleep  I hate always being the last one to fall asleep.
4366,4,raise heart upon the evil... 
4367,0,@whatdayathink yeah I love Nietzsche too. Tried to check out some of his stuff at the library &amp; it was all already checked out 
4368,0,I didn't write new songs but i singed  yaaay! My mouth is hurts inside and i can't sing anymore  I think i've to go again to the dentist
4369,0,"At first I thought this was a crazy BendMeOver email, nope just spam  http://bit.ly/I8nsq"
4370,0,"I wont be on blogtv tonight , SORRY GUYS "
4371,0,@ilovbutterlfies ; i still have that stupid boom boom pow song in  my head  hahaha
4372,4,"cant get to the computer today, so no updates. also going back to college tomorrow but cant really do with spreadsheets, there so boring "
4373,4,"@rockstarsttm I know the chords for Taylor Swift's love story   hehhe, but I kinda forgot a bit :/ My cousin taught me!"
4374,4,@remyjmusic glad to hear it..  what a way to ruin a Sunday.. Stupid Chinese!! But luckily ur Sunday wasn't entirely ruined.. 
4375,4,@ikathryn have a good trip. Hope the traffic is manageable. C-ya when u get back 
4376,4,"just came back from ikea...hmm..bought nothing,ate hotdog though,HAHA! "
4377,0,@martinpacker please post everything you consider interesting. I couldn't get permission for this trip 
4378,4,@caitliness Perhaps you don't return it's calls? Try some galactic flowers or chocolates. 
4379,0,i cannot believe that i dont have a single thing in my house to relieve pain. 
4380,4,Is talking on the phone. 
4381,0,My lesson is meant to be at 11:30...going to have to text and explain myself!! 
4382,0,@Dojie I'll DM him ;) Can't believe he's still alive after all these hits don't people ever die? Got to go in a  sec 
4383,4,At Courts with the kiddies 
4384,4,off to a special dinner date. 
4385,4,"@iamheartless can you hear me squee in germany ? thx for the links,I missed him  (p.s.why is he so attracive although he looks like hobo?)"
4386,4,out of church going to Culvers for lunch 
4387,0,Home   Missing the beach... But plan to go back soon!
4388,4,r @DigitalBlue It's not all that bad.  if you're interested in .Net programming MS has free Express editions of Visual Studio.
4389,4,@RebeccaBurdick i just saw that you replied to me the other day and i missed it!  thank you and sorry about that. 
4390,0,ear ache.....random! &amp; it hurts like a bitch   SOSOSOSO bored seriously im fifteen years old and it summer; thats fucked up!
4391,4,Today is going to be ah-maz-ing!! I just know it. Much love to all you tweets this morning. And REALLY looking forward to the Lakers win! 
4392,0,@yaeljk awww  hopefully next time!
4393,4,@TFEB  Tim informed me of where your husband works. We have to be sworn enemies now. My employer wants to be like B's when it grows up 
4394,0,"I'm in big trouble, if i fail 3 subjects i will stay down! i already failed 2!!!! "
4395,4,"@photoscanningca already watched the first two seasons, great show "
4396,4,"@officialTila you never sleep, do you? I'm not usually up at this hour, hate being sick. Btw I love love love your book!!  much love. xoxo"
4397,0,getting some drugs in me so i am ready for the dentist tomorrow.. there's a crack in my tooth 
4398,0,"@draconian_rain wow it's ridiculous  every time I get used to stupid mangabullet they change and not for the better, I still can't log in"
4399,0,It's so nice outside but I have to finish off this bit of work  @withoutmayo have a great day in Brighton.
4400,0,why do i never seem to get a lie in anymore? 
4401,0,off to work with a hurt shoulder 
4402,4,sick of the drama. text me 
4403,0,My life consists of charts and graphs when all i really want is waves and sand! 
4404,4,"@indrawati hi sissss  uhmm idk whether i shud say i love it here now or not ;x internet gettin slowwww, its difficult to come online......"
4405,4,@brunolovesbrit yes thankyou ! 
4406,0,its funny how no matter how happy i am my mom always just brings me down with one word.      its like she doesnt want me to be happy.
4407,0,@kbal24 I am sorry that you are feeling that way. 
4408,0,an up &amp; down day of tears &amp; sadness. my love lost his 1st cousin in new jersey 2day. it made headline news. my heart feels broken 2day. 
4409,0,@KevFP sorry I cut the wrong wire 
4410,0,I am so so so so so bored of studying 
4411,4,Evening beachside stroll with the McCanns and the dogs.  http://twitpic.com/6ftm4
4412,0,"@cocotangent Yeah, I suppose, but me no likey. "
4413,0,I am once again in a stupid situation 
4414,0,@robyngallagher stop telling people not to listen to me 
4415,0,@diana_music   How Are You Today? We've Been Missing You On DV  Cant Wait Til 22nd August 
4416,4,Cant wait to see the complete New Moon trailer before the MTV Movie Awards!! Wooo!! I love vampires..and werewolves 
4417,4,is hanging out with the best friend 
4418,4,@TheEngTeacher ah yes it will ;) And welcome to the world of #BlackBerry and @SocialScope  Good night.... zzzzz
4419,0,@Cynnergies I can't DM you   I think you'd have to follow me.  We're staying at The Luna Simone Hotel 47/49 Belgrave Road in London.
4420,0,Sitting in work on my day off 
4421,0,"Out &amp; about all day...Tired as hell, I need a back rub "
4422,0,@RhyseRichards I'm sad without comments from you everyday 
4423,4,yay got 8 in footy tips 
4424,4,@CriLauren I second this motion! ::shakes fist in the air:: no school means lots if free time. Should be able to write more 
4425,0,I have to tidy my room because faith's coming.. 
4426,0,"@hairlessheart that was a bit disappointing,huh. Thought it would be longer, and theyd play more of it "
4427,0,my iPod won't synchronize the new songs... 
4428,4,IM SCANNING MY NEGATIVES ONTO THE COMPUTER  SOOOOO EXCITED!
4429,4,Jillian Michaels Boost Metabolism workout. Shower and off to work 
4430,4,@LadySascha Thanks for the followfriday mention 
4431,0,@skin_deep  u've done SO well stay strong!
4432,0,my nail cut came off  it was SO SO SO long *crys*
4433,0,was chattin to this grl 4 awhile. i raised CO with 67 she calls button. flop 672. stack her KK for 700. she wont talk to me now  lol
4434,4,I'm trying to figure this all out 
4435,0,"Drinkin beer, chillin. Mourning the loss of the lakers "
4436,4,"@vhp357 Making My Tweet Spot videos, blogging... never done. "
4437,4,@Rawpower95 @Sohmer is the chasing a Deadpool gig. I don't think my style is less Marvel and more Mad Magazine 
4438,4,@amja good to see you using twitter a bit more 
4439,0,i wonder how my fever dog is doing. 
4440,0,"@aussienkotbfan have an engagement party tonight.  Chloe is coming with us but Jonah is getting babysat for the first time, I'll miss him "
4441,4,because of some weird reason i wanna go fishing. 
4442,0,"@stxr saw. I'm pissed at Maxis for apparently making it near impossible to mod, hack and make CC. So fuck the sims 3.  *bitter grapes*"
4443,0,"looking at our Bora pics. I miss the beach.  And of course, the people I went with. :&quot;&gt;"
4444,4,@AdCharlie  Maybe both. !? 
4445,4,"Never seem to find the time to work, stuff the housework today I'm getting the inks out "
4446,0,It's no longer sunny in Seattle.  http://tr.im/sunnyinseattle
4447,4,@kellytop22 sorry sis late reply! hehe. wow good luck dyan ah! kayang kaya mo yan ipass! hehe will pray for ya 
4448,0,Or not booo 
4449,4,anyways... looking forward to spain  only  44 days
4450,0,The sunrise over the Caribbean is absolutely stunning this AM This is the last time I will see if from our apt of 5 years for a long time 
4451,4,"Damn gotta go, see you later...I'll try tomorrow!  xx"
4452,0,@RecoverHealth Appreciate it ... but unfortunately link isn't working 
4453,0,It is a beautiful day and I am inside  writing about Audit Reports and listening to Sergio Mendes.
4454,0,Now in queue for tonights gig at least something to lean against for the many hours met josh singer of Buckcherry  so yay still  about ...
4455,0,@xFrankieMonster He should be locked up for others safety !! They blowfish bit me 
4456,0,xbox live down? booo 
4457,4,I love Jason mraz 
4458,4,"@dougiemcfly Hey Doug! Your lovely face is in Mexico's Tv now! Haha, you guys enjoyed being here? "
4459,4,Going to galleria. 
4460,4,@KatieFforde it was on offer at Smiths in terminal 3 LHR 
4461,4,listening to the TSA podcast 
4462,4,@joshjanssen they let u do a legit free 14 day trial with no commitments at all (they dont ask 4 any crd card details) should have a play 
4463,4,@eponymouscom Given the fluidity of line-up changes how about #fantasyfrost     10-1 Martin Orford joins before Chrimbo...
4464,0,@HaileyEdwards *shrugs* I got all your messages so I didn't realize u were not getting mine. Just thought you didn't like me anymore  lol
4465,0,Spending the night in los banos ... Kill. me. now. ... i miss YOU. Not him 
4466,0,@laurenconrad Lauren! I just found out I need tix for ur sold out book signing in IL! Help! We've been looking forward to this for weeks 
4467,0,Watching Pretty Woman alone  Keith and Louie are at Michaels for the night
4468,4,@missleah0108 lmao! But u r the only one...I'm watchin @Adrienne_Bailon 
4469,4,"@arianneross nope yonger, i am the eldest haha "
4470,4,"@Sebianoti Actually, i don't need it! I use a mac, and have software built in for that "
4471,0,"@ememmyem I'll probably go out for coffee, but the work has to get done. No chances of a real treat "
4472,4,Yea I was thinking that... You can still give me pointers cuz I have to plan my sisters 
4473,0,I know for a fact that I had some smash lying around here before work .. but where the fuck is it now? 
4474,4,@shaktijs dood fwd @gsik my gifts to him.. 
4475,0,"@RikkAlaniz I'm glad he didn't get too hurt, I know some bad things can happen on motorcycles  you and everyone else are okay too, right?"
4476,4,layin out with my mom!  CAMP TOMORROW!!!!!!
4477,0,Ugh. Doc wants my wisdom teeth out 
4478,4,better now 
4479,4,@StealthBoomPow take care darlin..glad I got to see you even if it was for a few 
4480,4,@TamaraSchilling Thanks! It is great meeting such wonderful people like yourself. Have fun tomorrow! Good Night 
4481,4,I got my house I got my house I got my house!!!  Very happy American today!
4482,0,3500 words more 
4483,0,not impressed at the fact im almost out of vodka!!!! :O   x
4484,0,@The_BORG I know what you mean. I can't even use gchat most of the day anymore. 'Twas blocked. 
4485,0,@luveysun nothing really...going to work 
4486,0,"due to the heavy irish rain, the picinc is now at the basement.. "
4487,4,"@richardpbacon #1 I'm Irish so drinking at any hour of the day is pretty much accepted, #2 there is no such thing as &quot;time&quot; in airport "
4488,4,@titaniumfish wow nice shot! 
4489,4,at work ... man i like twitter 
4490,4,At The movies!  hehe. This is going to be hilarious.
4491,0,Killed everyone on the Wii with Kirby..Drunk.. o.o About to kick the wii out the window because my 'B' button stopped working.. 
4492,4,@ccmatthews statuses lol. omg its so early there XD. its 12.30 during tge day here 
4493,4,Willy Wonka is on!!!! My favorite with Gene Wilder as Wonka  Today is now complete!!
4494,4,@kessycat *kaffee hinstell* 
4495,0,"has decided not to buy boxing - only my first time ever!!! - lol. i gota get up early, so bed early "
4496,4,@Sion71 I like that 
4497,4,"Not at prom. Ha! Chinese, iced chai, and some old school pokemon. Good night "
4498,0,"I'm wondering, why there is no pics on my &quot;following&quot; there?  Help!"
4499,4,BBqs heating up 
4500,0,@kerifrost I missed you too and everybody cause I was all by myself. 
4501,0,@NoRaptors why are you sorry? 
4502,4,is taking a mental and physical health morning...massage and accupuncture!  Anyone done the needle thing before?  I'm a little nervous! 
4503,0,"Weather forecast is always right, if it is related to rain "
4504,4,getting ready to leave. going into the land of photoshop! 
4505,4,@nb_afifa LOL. im sorry haha. both are nicee 
4506,4,@kateharvey_  why katle has twitter hi de ho 
4507,0,@saaem enjoying or working... or maybe both... off to go swimming with kids now.  Will likely get wet on the way there.  rain pending. 
4508,0,"another day, another essay  ..."
4509,4,happy mothers day!  &lt;3
4510,4,came back from tj 
4511,0,"I finished Professor Layton at the weekend, so I don't have a game to play now  What else is good (preferably for the DS)?"
4512,4,@jordanknight i love the I Wish....  it's my personal lullaby...
4513,0,http://twitpic.com/68v4b - Hawaii state fair looks a little lame 
4514,0,"There's a fly in my room, and it really likes my shampoo "
4515,0,going to a family meal tonight. SO TIRED 
4516,4,In the process of doing things to my hair. I look like a bumblebee.  Adding purple in a week or 2.
4517,0,My baby got hurt again. I'm so sorry 
4518,4,"Photo: Im an aspiring photographer, check out my deviantart please  http://sundayrainx.deviantart.com/ http://tumblr.com/xqm1wqidd"
4519,0,Going shopping 2day. Its raining tho 
4520,0,Home now and really tired  and i dont plan on sleeing tonight. ha
4521,0,Stupid sun i  actually have to work now 
4522,4,finished my last exam at school wooooooooo 
4523,0,@daniellellanes I bet he would have. I miss Brandon Lee. 
4524,4,Just watched Daily Ten and E! a while ago. 
4525,0,Hate getting three blocks away and realiZing these shoes are going to hurt 
4526,0,"Ouch, woke up with a headache. Rain must be imminent. Damn you falling barometric pressure!  "
4527,0,Can any1 point me to a webpage so that I could understand how 3G works?? Wikipedia disappoints me on it 
4528,4,Painting/listening to the radio/still 90s week 
4529,0,Crit Exams this afternoons all 3hrs 20mins of them!!!! 
4530,4,@kerrysholicar Yay! That's good to hear 
4531,4,@kaileejnai http://twitpic.com/6unor - whenever i see pics of them it makes me smile 
4532,0,Doesnt't want to get up 
4533,4,@_djh The dawn of a new day. 
4534,0,"@enslaved2564 Awww why?  I was feeling sick in the morning, but something tells me it is not physical on your part. "
4535,0,@Georgecraigono you're lucky you don't have any exams to 
4536,0,@ScottMode Great to hear your being requested to produce new shows. I only have HI speed at work so Live at home will not work for me 
4537,0,Thosewere my plansfor the day. What todo now? 
4538,0,ugh!!!  i have to work at 9 tomorrow morning.  
4539,4,Going to meet a new Beautiful face for the agency 
4540,4,Quite possibly the best you tube clip I have seen in a long while *wonders if Barry could do this  http://bit.ly/11Oqoa
4541,0,sooooo tired but my headache and sore everything won't let me sleep 
4542,0,so tired 
4543,4,wow long weekend. finally home. relaxing with a movie. 
4544,0,doing a stupid Cisco course 2day. 
4545,0,"@ilovemcflyX yeah ;-o, im not taking no for an answer to get a picture, you were so lucky to get one of them "
